%Time,Tn-marg,          Tn-Phy,             d-geo,         Tn-Psi
8.293,0.011637867440278967,0.09943194097204484,5.293340250695401,0.11018213606365905
8.415,0.01284891986307376,0.10457456664528711,5.371782825631353,0.11628177776043284
8.537,0.014153615470683402,0.11007783207219918,5.410215211914251,0.12268887149503499
8.659,0.015554759816498832,0.11553682609997425,5.452875826650982,0.12939938297375522
8.78,0.017055309561820386,0.12163383968350056,5.548618868519919,0.13640646916568824
8.902,0.018658202736945618,0.12753641113963485,5.610526976995844,0.1437002499962249
9.024,0.020364409481516937,0.13399203463907963,5.631697611566925,0.15126854914956162
9.146,0.02216390251725342,0.14054039265873697,5.717816240525205,0.15909691140829277
9.268,0.024040357152252667,0.1471177788467515,5.745227791380547,0.16716969297415143
9.39,0.02597774581054453,0.15429810157658885,5.761765644165075,0.17546830159075918
9.512,0.02797645596749272,0.1610061420530672,5.815300244094319,0.18397186775002078
9.634,0.030056292127177916,0.16854661874269675,5.835388089943044,0.19265704715335455
9.756,0.03222817632192132,0.17570164384040654,5.894613397821161,0.2014959608747911
9.878,0.03447066532343688,0.18319309464397548,6.026162860440675,0.2104584073947924
10.0,0.03673452049322097,0.19090039847321544,6.071759016677997,0.2195117884943962
10.122,0.03898398531709453,0.1980299452522676,6.172789138795968,0.22862099460549218
10.244,0.04124439164505893,0.20599231872395202,6.305428137217319,0.2377503869784796
10.366,0.04358223733352015,0.21308823921332157,6.277389906398136,0.24686385417371454
10.488,0.04601861436389659,0.22090997798295328,6.350374249438128,0.25592376068358497
10.61,0.04847590714008126,0.22835610081596072,6.3979189133831245,0.2648925939925214
10.732,0.05083048910319781,0.23541894536629976,6.42907918857993,0.2737317063895907
10.854,0.0530364086986044,0.24286940753751604,6.36125177969408,0.2823993230996953
10.976,0.05519130903263232,0.2492389660609945,6.345352393704757,0.2908525715391405
11.098,0.05743396302309052,0.2564544981449154,6.435469656760587,0.2990488885185527
11.22,0.05975987113574815,0.2628719460392201,6.523990910198461,0.30694576984978866
11.341,0.06197156693680589,0.2692531389254616,6.51523753650503,0.314499859262295
11.463,0.06387036003854281,0.27531457143627625,6.5034890273948935,0.3216710440939206
11.585,0.06548877172421567,0.2803492726888509,6.554096692164483,0.3284233989432845
11.707,0.06708420818221301,0.28581890287458556,6.635679766723973,0.3347244395658205
11.829,0.0688466879938685,0.29046355882274305,6.665760013698977,0.3405433427579573
11.951,0.07064889475741101,0.29530219187538653,6.661839502392783,0.34585262796312494
12.073,0.07214526674725337,0.2993449832249565,6.664140398236447,0.35062824248196617
12.195,0.07315999904446575,0.3025603803407359,6.68822470062575,0.35484851842355825
12.317,0.07391073314735297,0.3054641864888121,6.711397606027869,0.35849224851083794
12.439,0.07477897679940176,0.30779212662863853,6.724621494646261,0.3615389160503304
12.561,0.07585660894064242,0.31025994009450397,6.772633618958365,0.3639718654465565
12.683,0.07680179201425677,0.3119696540299197,6.745993290092315,0.3657790900667861
12.805,0.07721644563998019,0.313055877797382,6.667454020317155,0.36695500728063396
12.927,0.07710435077419789,0.31318440773179934,6.669987199462755,0.3674971645076457
13.049,0.07688297036495013,0.3129636024123472,6.686237528205878,0.3674067057184194
13.171,0.07689398449140245,0.31261341019228767,6.805409326986762,0.3666878540436745
13.293,0.07699726793248582,0.31189221130580874,6.843108948604336,0.3653486362559798
13.415,0.07673666552898269,0.3107645742304098,6.896657820017833,0.3634033370981918
13.537,0.07586920042092705,0.30846977508984386,6.883233447066429,0.3608699043190861
13.659,0.07465473920170226,0.30590043533221306,6.874341734466144,0.3577702863427879
13.78,0.07354972683751854,0.30291083666332097,6.850239033621966,0.3541294492149601
13.902,0.07267909708448478,0.2998999314386008,6.897919493283309,0.3499717713596695
